,Label,Review
0,1,"Slippery? then it must be a sluagh: If i had to choose a book out of the ones I've read abut Changeling, I'd choose this one. Why? It's simple: the information is not only interesting but also very ample. Before I read this book I tought that sluaghs were just ugly, smelly and disgusting faeries. Who wants to play a character that cannot raise its voice above a whisper? Now, I'm grateful I overcame my prejudices: sluaghs are far more than that. Useful for those who love secrecy, and mystery, and the darker side of the Dreaming."
1,1,"A lesson: I believe that this book should be read along with the Fall, for as Camus intended, the two works lend insight into each other. I don't believe it's quite accurate to boil these stroies down into existential philosophy and social crticism. There is something to Camus' work which speaks to more hidden aspirations. This is an incredible collection of stories, who's diversity defies Hemingway. However, unlike the other reviews, I don't believe that the stories are about exile in such a simple way. Many of the charcters seem to be liberated at the end of their stories...or, imprisoned. Either way, the exile involved here, I think, may have more to do with the kingdom of God. Take that as you will. This is a strong piece of literature."
2,1,"Little Kids CAN Do This - also a note about how this is related to a Montessori activity: My 4 1/2 year old daughter received a Crayola Cutter for Christmas and she LOVES it. Yes, you have to move the pen slowly and hold it straight up and down, but I explained that to her before she got started and neither issue seems to deter her from cutting and enjoying it.However, her patience may be the result of her experience with an activity at her Montessori school. They do 'push pinning', where the children manually perforate construction paper to cut out shapes. Compared to that tedious activity, this is a breeze. So if your child has attended a Montessori program and done push pinning, he/she will probably love this."
3,1,"Not Dangerous: I don't know why people keep saying this thing is dangerous just because of what it looks like. People are equating it to a tattoo needle! Anyways, it's NOT dangerous, I've heard of many adults actually turning it on on their own hand to make sure it's safe and IT IS. I've never heard of someone (or their kids) getting cut with this thing. Crayola would be pretty dumb to market this thing as safe if it wasn't. That would be a lawsuit waiting to happen and they know it.In any case, I personally think this cutter is pretty neat and is a blast for all kinds of projects. If someone buys it and it doesn't work all that well, just return it and be done with it, yanno? And of course if you love it, well, keep it and have fun!"
4,1,great dvds: i have copied many movies with these dvds. the quality of the copies are amazing.i would recommend these dvds to everyone.
5,1,"Awesome, healthy cracker: I think these crackers are wonderful!! I love the individual packages as they are great for on-the-go and portion control. I am a personal trainer and recommend these to everyone. They are high in fiber, low in carbs, and have a wonderful flavor. The bonus is they are organic & don't contain processed foods...all whole grains & essential fatty acids. What more could you ask for!!"
6,1,"Most Useful Dictionary: I have a 1971 copy of this dictionary which I am still using. Why? It is compact, the size of a typical short paperback novel, but it has more entries then many of the very big, but not easily handled dictionaries. The author just uses very brief definitions which most of the time is all I need. The result is that I have consistently used this dictionary since 1971 leaving the big dictionaries on the shelf."
7,1,"A Good Intro to Rushdie: I really enjoyed this collection of stories, and think that the book is a good introduction to Rushdie. I think my favorites in the collection were ""The Prophet\'s Hair,"" and ""The Courter."" In fact, I think ""The Prophet\'s Hair,"" was the story which truly reminded me that Rushdie knows how to turn a phrase. While at times there is a certain ambivalence in some stories, I think that is understandable in point of view of Rushdie\'s own background. It is an attitude that comes from being a product of two cultures and wanting to have claims to both, not just one or the other, as Rushdie so elegantly proclaims at the end of ""The Courter.&quot"
8,1,"--Nine Rushdie tales. =East, West, East/West.: Rushdie\'s writing contains the joyous confusions of being claimed by two cultures. I love when Rushdie digresses a bit and lets loose a curious flood of details, such as when describing a case of noxious bad"
9,1,"New to US crochet: This is a beautiful book, designs by Patricia Kristoffersen, so no further explanation needed. The doilies look a little daunting to start with, especially if you are not used to US patterns or raised/twisted stitches, but with such brilliant instructions, and pictures to help, it's near impossible to go wrong. It's probably not for the faint-hearted or beginners, but if you love to crochet as much as I do, your own knowledge of what stitches and sequences of stiches should look like, will help you enormously. I would definitely recommend this book to anyone who likes a challenge and loves beautiful designs."
